id,puzzle,solution,clues,difficulty,difficulty_tier,anomaly_type
16640,..87....6....9.1...7.......4...12...........362...4........38......2..4.9.78.....,198745236364298175572136984483512769751689423629374518216453897835927641947861352,20,0.0,Beginner,"Few clues, scanning-only rating"
94798,.8..........4..5...1.3....7.7...6..1........4..6..9.3....1..7.8.....7...56....9..,784695123632471589915328467378546291159283674246719835493162758821957346567834912,20,0.0,Beginner,"Few clues, scanning-only rating"
96807,..7.2.....15...8.......39.....79.....28..5..7..6.4.....4............12..3..8.....,837129546915467823264583971153796482428315697796248315641932758589671234372854169,20,0.0,Beginner,"Few clues, scanning-only rating"
165020,1...2.83...5..9...6..........9..1..6..........3.7....8.......1......6.2542.3.....,197625834385479261642138597759281346814563972236794158568942713973816425421357689,20,0.0,Beginner,"Few clues, scanning-only rating"
190414,.8.46........8.....5.....92.26...1.3.....47.......9.......2.5..5.....6....7....1.,789462351312985476654371892926857143835214769471639285198726534543198627267543918,20,0.0,Beginner,"Few clues, scanning-only rating"
246845,..6....8.3....91.....7.....97.....45...8......2..6...9.9..1........3..6...3.....2,746152983352689174819743526978321645634895217521467839497216358285934761163578492,20,0.0,Beginner,"Few clues, scanning-only rating"
249764,...91..3.7......8....3....4..6.8..2.....72...4.3....6.......7........1.6...59....,684917235739245681512368974176483529895672413423159867941836752358724196267591348,20,0.0,Beginner,"Few clues, scanning-only rating"
282740,..3......8.53...4.....7...6..4.32....5...........9.21.9.......4...2.6....2.5.....,793654182865321749412978356174832695259167438638495217986713524541286973327549861,20,0.0,Beginner,"Few clues, scanning-only rating"
285158,6..8....4.3.....9....76.........37...5...4.3..9..1.5............4.6..15...2......,619835274735142896824769315461583729258974631397216548576391482943628157182457963,20,0.0,Beginner,"Few clues, scanning-only rating"
287620,........1..9.8.....3469........21.....8.4.9..7......3.4......5....7.5.18.........,286574391579183642134692587345921876618347925792856134461238759923765418857419263,20,0.0,Beginner,"Few clues, scanning-only rating"
306273,..2.8.9...8......4......35.3....6.2..4..9..7......4.......7......58..1..2.1......,652483917783915264914627358398756421146298573527134896839571642475862139261349785,20,0.0,Beginner,"Few clues, scanning-only rating"
340947,.........6..5.27.....8.....3.8.1......7..35......6..92.......1.....9...784.6.....,483176259619542738275839164328915476967423581154768392792384615536291847841657923,20,0.0,Beginner,"Few clues, scanning-only rating"
369279,.......81..5.........4.9.5.7....5..24...82...3............1.7....9...2.6..1...9..,927653481645871329183429657798345162416782593352196874264918735879534216531267948,20,0.0,Beginner,"Few clues, scanning-only rating"
493323,.6..13......2.......5.....7..2...3......4....194.......5..97.....7.6...4.8.....2.,769513482841279653325684917672958341538741296194326875253497168917862534486135729,20,0.0,Beginner,"Few clues, scanning-only rating"
552396,..1......5.....7......48..3..6..5......7..951..9..............57..69.....2..8..4.,861357429534269718297148563176925834482736951359814276618472395745693182923581647,20,0.0,Beginner,"Few clues, scanning-only rating"
558853,14..75.....6...3...5.....9......24.52.83.........8.1..7.....9.....1.............2,143975268976821354852436791397612485218354679564789123785243916429168537631597842,20,0.0,Beginner,"Few clues, scanning-only rating"
563123,..5.....1..2..5....18..3...2..87..4.7...1...84...6...........7.......5....9....2.,975628431342195687618743952256879143793514268481362795564281379827936514139457826,20,0.0,Beginner,"Few clues, scanning-only rating"
578603,1..3.........72.3...9.8...7.6..24...8.7...1........9......1...5.2........35......,172346589586972431349581627963124758857639142214758963698413275721865394435297816,20,0.0,Beginner,"Few clues, scanning-only rating"
620501,...2..7....98....31.....59...2.9......6.....8....74...74.......6.........5....43.,534219786269857143187436592312598674476321958895674321741983265623745819958162437,20,0.0,Beginner,"Few clues, scanning-only rating"
665976,8...5.....9..8...1.......26......6..93...7........621......8.....2...5.9....13...,823651974697482351415379826241835697936127485758946213374598162182764539569213748,20,0.0,Beginner,"Few clues, scanning-only rating"
688111,.....964.3...1....12.........6.......485..9.....7.3..5.71.6..2.....8.............,857239641369417582124658739536891274748526913912743865471965328693182457285374196,20,0.0,Beginner,"Few clues, scanning-only rating"
739186,..6......72.4....8....9.3.19......6..4.....5......57...53.......1.8.....2......7.,396182547721453698584796321975318462648927153132645789853274916417869235269531874,20,0.0,Beginner,"Few clues, scanning-only rating"
771109,..26...7....5.8.....6....12.........5........98.4..6......1...43....5.......935..,492631875713528496856974312634182759527369148981457623275816934369745281148293567,20,0.0,Beginner,"Few clues, scanning-only rating"
776361,.4..3....3...........1.27......4..6.........4..17...82.....8..62.7..1......96....,742639815318574629695182743923845167876213954451796382139428576267351498584967231,20,0.0,Beginner,"Few clues, scanning-only rating"
776625,.....52...7...1....2....37.........1...7..6.9...84.......6.31....5..8..6..3......,986375214374281965521964378267539841438712659159846723842653197795128436613497582,20,0.0,Beginner,"Few clues, scanning-only rating"
790009,......1.......3...5.2......9.7..6.........8.....5..3.4..68.....31.....922...5.4..,763945128184263957592718643937486215645132879821597364456829731318674592279351486,20,0.0,Beginner,"Few clues, scanning-only rating"
811317,3.....4.......5..68..21....4...91.........57...18.....9......1.........2..53.4...,316978425792435186854216739473591268289643571561827943938752614647189352125364897,20,0.0,Beginner,"Few clues, scanning-only rating"
831449,...5....8..169.....6..2...5...2....6..4........7..13...2......9.5.3..........8.7.,372514968581693427469827135815239746234765891697481352723146589958372614146958273,20,0.0,Beginner,"Few clues, scanning-only rating"
853563,....36....8..9.7..2.......8.........1.4....6..3...28.........39..1.....647...1...,917836524685294713243175698852613947194758362736942851568427139321589476479361285,20,0.0,Beginner,"Few clues, scanning-only rating"
959786,.3....9.7..2....8..8..5..........3.....2.....9..86..7.7...4..6......5..4.....32..,536418927492376581187952436261597348874231659953864172725149863318625794649783215,20,0.0,Beginner,"Few clues, scanning-only rating"
964700,.....6....9.....3....53.17.....8..9..4......5.12.....68....2........94..3......1.,183796254597421638426538179635284791948617325712953846879142563251369487364875912,20,0.0,Beginner,"Few clues, scanning-only rating"
