clues,puzzle_count,mean_rating,median_rating,rating_sd,minimum_rating,maximum_rating,rating_p10,rating_p25,rating_p75,rating_p90,scanning_only_share,expert_share,rating_range,central_80_range
19,1,2.400000,2.400000,,2.400000,2.400000,2.400000,2.400000,2.400000,2.400000,0.000000,0.000000,0.000000,0.000000
20,210,1.424286,1.300000,1.478662,0.000000,6.200000,0.000000,0.000000,2.500000,3.410000,0.423810,0.047619,6.200000,3.410000
21,8204,1.251524,1.100000,1.385402,0.000000,7.100000,0.000000,0.000000,2.200000,3.200000,0.464895,0.037665,7.100000,3.200000
22,115931,1.224371,1.100000,1.338225,0.000000,7.900000,0.000000,0.000000,2.200000,3.100000,0.461559,0.030561,7.900000,3.100000
23,556412,1.198495,1.100000,1.297524,0.000000,8.500000,0.000000,0.000000,2.100000,3.000000,0.458644,0.024976,8.500000,3.000000
24,1058407,1.205521,1.200000,1.271948,0.000000,8.200000,0.000000,0.000000,2.100000,3.000000,0.445897,0.021668,8.200000,3.000000
25,865548,1.252945,1.200000,1.257216,0.000000,7.700000,0.000000,0.000000,2.200000,3.000000,0.419485,0.019942,7.700000,3.000000
26,327826,1.333006,1.400000,1.245098,0.000000,7.700000,0.000000,0.000000,2.200000,3.000000,0.380556,0.019437,7.700000,3.000000
27,61228,1.454504,1.500000,1.229240,0.000000,6.400000,0.000000,0.000000,2.300000,3.100000,0.327138,0.019338,6.400000,3.100000
28,5926,1.596018,1.700000,1.208353,0.000000,5.700000,0.000000,0.000000,2.400000,3.200000,0.271347,0.018731,5.700000,3.200000
29,297,1.868013,1.900000,1.174772,0.000000,4.800000,0.000000,1.200000,2.700000,3.300000,0.181818,0.026936,4.800000,3.300000
30,9,2.033333,1.800000,1.209339,0.000000,3.800000,0.880000,1.500000,2.400000,3.720000,0.111111,0.000000,3.800000,2.840000
31,1,2.400000,2.400000,,2.400000,2.400000,2.400000,2.400000,2.400000,2.400000,0.000000,0.000000,0.000000,0.000000
