clues,difficulty,puzzle_count,share_within_clue_count
19,2.40000000,1,1.00000000
20,0.00000000,89,0.42380952
20,1.00000000,5,0.02380952
20,1.10000000,2,0.00952381
20,1.20000000,2,0.00952381
20,1.30000000,8,0.03809524
20,1.40000000,6,0.02857143
20,1.50000000,5,0.02380952
20,1.60000000,5,0.02380952
20,1.70000000,3,0.01428571
20,1.80000000,5,0.02380952
20,1.90000000,3,0.01428571
20,2.00000000,9,0.04285714
20,2.10000000,2,0.00952381
20,2.20000000,3,0.01428571
20,2.30000000,4,0.01904762
20,2.40000000,5,0.02380952
20,2.50000000,5,0.02380952
20,2.60000000,4,0.01904762
20,2.70000000,4,0.01904762
20,2.80000000,3,0.01428571
20,2.90000000,8,0.03809524
20,3.10000000,2,0.00952381
20,3.20000000,2,0.00952381
20,3.30000000,3,0.01428571
20,3.40000000,2,0.00952381
20,3.50000000,1,0.00476190
20,3.70000000,2,0.00952381
20,3.80000000,3,0.01428571
20,3.90000000,2,0.00952381
20,4.00000000,3,0.01428571
20,4.10000000,3,0.01428571
20,4.30000000,1,0.00476190
20,4.50000000,2,0.00952381
20,5.30000000,1,0.00476190
20,5.80000000,2,0.00952381
20,6.20000000,1,0.00476190
21,0.00000000,3814,0.46489517
21,1.00000000,210,0.02559727
21,1.10000000,167,0.02035592
21,1.20000000,172,0.02096538
21,1.30000000,174,0.02120917
21,1.40000000,194,0.02364700
21,1.50000000,216,0.02632862
21,1.60000000,188,0.02291565
21,1.70000000,180,0.02194052
21,1.80000000,183,0.02230619
21,1.90000000,199,0.02425646
21,2.00000000,175,0.02133106
21,2.10000000,183,0.02230619
21,2.20000000,147,0.01791809
21,2.30000000,170,0.02072160
21,2.40000000,142,0.01730863
21,2.50000000,133,0.01621160
21,2.60000000,119,0.01450512
21,2.70000000,106,0.01292053
21,2.80000000,119,0.01450512
21,2.90000000,104,0.01267674
21,3.00000000,125,0.01523647
21,3.10000000,90,0.01097026
21,3.20000000,86,0.01048269
21,3.30000000,82,0.00999512
21,3.40000000,83,0.01011702
21,3.50000000,70,0.00853242
21,3.60000000,55,0.00670405
21,3.70000000,63,0.00767918
21,3.80000000,64,0.00780107
21,3.90000000,44,0.00536324
21,4.00000000,38,0.00463189
21,4.10000000,38,0.00463189
21,4.20000000,45,0.00548513
21,4.30000000,23,0.00280351
21,4.40000000,34,0.00414432
21,4.50000000,26,0.00316919
21,4.60000000,20,0.00243784
21,4.70000000,12,0.00146270
21,4.80000000,11,0.00134081
21,4.90000000,12,0.00146270
21,5.00000000,20,0.00243784
21,5.10000000,10,0.00121892
21,5.20000000,5,0.00060946
21,5.30000000,4,0.00048757
21,5.40000000,11,0.00134081
21,5.50000000,4,0.00048757
21,5.60000000,7,0.00085324
21,5.70000000,6,0.00073135
21,5.80000000,3,0.00036568
21,5.90000000,3,0.00036568
21,6.00000000,2,0.00024378
21,6.10000000,3,0.00036568
21,6.20000000,2,0.00024378
21,6.30000000,2,0.00024378
21,6.40000000,1,0.00012189
21,6.50000000,1,0.00012189
21,6.60000000,1,0.00012189
21,6.80000000,1,0.00012189
21,6.90000000,1,0.00012189
21,7.10000000,1,0.00012189
22,0.00000000,53509,0.46155903
22,1.00000000,3107,0.02680042
22,1.10000000,2251,0.01941672
22,1.20000000,2687,0.02317758
22,1.30000000,2900,0.02501488
22,1.40000000,2883,0.02486824
22,1.50000000,2933,0.02529953
22,1.60000000,2929,0.02526503
22,1.70000000,2906,0.02506663
22,1.80000000,2747,0.02369513
22,1.90000000,2577,0.02222874
22,2.00000000,2499,0.02155593
22,2.10000000,2489,0.02146967
22,2.20000000,2270,0.01958061
22,2.30000000,2243,0.01934772
22,2.40000000,2051,0.01769156
22,2.50000000,1934,0.01668234
22,2.60000000,1865,0.01608716
22,2.70000000,1846,0.01592326
22,2.80000000,1707,0.01472428
22,2.90000000,1578,0.01361154
22,3.00000000,1414,0.01219691
22,3.10000000,1365,0.01177425
22,3.20000000,1181,0.01018709
22,3.30000000,1174,0.01012671
22,3.40000000,1029,0.00887597
22,3.50000000,908,0.00783225
22,3.60000000,882,0.00760797
22,3.70000000,715,0.00616746
22,3.80000000,668,0.00576205
22,3.90000000,610,0.00526175
22,4.00000000,531,0.00458031
22,4.10000000,516,0.00445092
22,4.20000000,408,0.00351933
22,4.30000000,379,0.00326919
22,4.40000000,343,0.00295866
22,4.50000000,294,0.00253599
22,4.60000000,245,0.00211333
22,4.70000000,201,0.00173379
22,4.80000000,173,0.00149227
22,4.90000000,169,0.00145776
22,5.00000000,127,0.00109548
22,5.10000000,127,0.00109548
22,5.20000000,96,0.00082808
22,5.30000000,78,0.00067281
22,5.40000000,68,0.00058656
22,5.50000000,65,0.00056068
22,5.60000000,47,0.00040541
22,5.70000000,34,0.00029328
22,5.80000000,30,0.00025877
22,5.90000000,33,0.00028465
22,6.00000000,24,0.00020702
22,6.10000000,13,0.00011214
22,6.20000000,12,0.00010351
22,6.30000000,12,0.00010351
22,6.40000000,9,0.00007763
22,6.50000000,9,0.00007763
22,6.60000000,7,0.00006038
22,6.70000000,3,0.00002588
22,6.80000000,4,0.00003450
22,6.90000000,3,0.00002588
22,7.00000000,5,0.00004313
22,7.20000000,2,0.00001725
22,7.30000000,5,0.00004313
22,7.60000000,1,0.00000863
22,7.90000000,1,0.00000863
23,0.00000000,255195,0.45864395
23,1.00000000,16106,0.02894618
23,1.10000000,11739,0.02109768
23,1.20000000,13475,0.02421767
23,1.30000000,14273,0.02565186
23,1.40000000,14784,0.02657024
23,1.50000000,14676,0.02637614
23,1.60000000,14503,0.02606522
23,1.70000000,13941,0.02505517
23,1.80000000,13682,0.02458969
23,1.90000000,13357,0.02400559
23,2.00000000,12647,0.02272956
23,2.10000000,12166,0.02186509
23,2.20000000,11472,0.02061782
23,2.30000000,10849,0.01949814
23,2.40000000,10314,0.01853662
23,2.50000000,9649,0.01734147
23,2.60000000,8851,0.01590728
23,2.70000000,8492,0.01526207
23,2.80000000,7878,0.01415857
23,2.90000000,7272,0.01306945
23,3.00000000,6560,0.01178982
23,3.10000000,6171,0.01109070
23,3.20000000,5556,0.00998541
23,3.30000000,5114,0.00919103
23,3.40000000,4616,0.00829601
23,3.50000000,4174,0.00750164
23,3.60000000,3811,0.00684924
23,3.70000000,3395,0.00610159
23,3.80000000,2871,0.00515985
23,3.90000000,2584,0.00464404
23,4.00000000,2342,0.00420911
23,4.10000000,1943,0.00349202
23,4.20000000,1879,0.00337699
23,4.30000000,1541,0.00276953
23,4.40000000,1380,0.00248018
23,4.50000000,1178,0.00211714
23,4.60000000,965,0.00173433
23,4.70000000,855,0.00153663
23,4.80000000,723,0.00129940
23,4.90000000,608,0.00109272
23,5.00000000,493,0.00088603
23,5.10000000,443,0.00079617
23,5.20000000,377,0.00067756
23,5.30000000,271,0.00048705
23,5.40000000,248,0.00044571
23,5.50000000,192,0.00034507
23,5.60000000,148,0.00026599
23,5.70000000,142,0.00025521
23,5.80000000,92,0.00016535
23,5.90000000,89,0.00015995
23,6.00000000,60,0.00010783
23,6.10000000,57,0.00010244
23,6.20000000,39,0.00007009
23,6.30000000,33,0.00005931
23,6.40000000,38,0.00006829
23,6.50000000,25,0.00004493
23,6.60000000,13,0.00002336
23,6.70000000,13,0.00002336
23,6.80000000,10,0.00001797
23,6.90000000,12,0.00002157
23,7.00000000,8,0.00001438
23,7.10000000,1,0.00000180
23,7.20000000,3,0.00000539
23,7.30000000,4,0.00000719
23,7.40000000,2,0.00000359
23,7.50000000,2,0.00000359
23,7.60000000,2,0.00000359
23,7.70000000,2,0.00000359
23,7.80000000,1,0.00000180
23,8.00000000,2,0.00000359
23,8.30000000,1,0.00000180
23,8.40000000,1,0.00000180
23,8.50000000,1,0.00000180
24,0.00000000,471941,0.44589747
24,1.00000000,32050,0.03028136
24,1.10000000,23766,0.02245450
24,1.20000000,27229,0.02572640
24,1.30000000,29228,0.02761509
24,1.40000000,29526,0.02789664
24,1.50000000,29233,0.02761981
24,1.60000000,28909,0.02731369
24,1.70000000,27940,0.02639816
24,1.80000000,26990,0.02550059
24,1.90000000,26059,0.02462096
24,2.00000000,25031,0.02364969
24,2.10000000,23886,0.02256788
24,2.20000000,22654,0.02140386
24,2.30000000,21343,0.02016521
24,2.40000000,19933,0.01883302
24,2.50000000,18821,0.01778238
24,2.60000000,17543,0.01657491
24,2.70000000,16455,0.01554695
24,2.80000000,15309,0.01446419
24,2.90000000,13760,0.01300067
24,3.00000000,12778,0.01207286
24,3.10000000,11520,0.01088428
24,3.20000000,10647,0.01005946
24,3.30000000,9563,0.00903528
24,3.40000000,8508,0.00803850
24,3.50000000,7628,0.00720706
24,3.60000000,6944,0.00656080
24,3.70000000,6034,0.00570102
24,3.80000000,5436,0.00513602
24,3.90000000,4764,0.00450110
24,4.00000000,4045,0.00382178
24,4.10000000,3512,0.00331819
24,4.20000000,3166,0.00299129
24,4.30000000,2659,0.00251227
24,4.40000000,2236,0.00211261
24,4.50000000,1941,0.00183389
24,4.60000000,1605,0.00151643
24,4.70000000,1454,0.00137376
24,4.80000000,1091,0.00103079
24,4.90000000,998,0.00094293
24,5.00000000,797,0.00075302
24,5.10000000,666,0.00062925
24,5.20000000,559,0.00052815
24,5.30000000,428,0.00040438
24,5.40000000,360,0.00034013
24,5.50000000,278,0.00026266
24,5.60000000,232,0.00021920
24,5.70000000,204,0.00019274
24,5.80000000,160,0.00015117
24,5.90000000,120,0.00011338
24,6.00000000,94,0.00008881
24,6.10000000,88,0.00008314
24,6.20000000,58,0.00005480
24,6.30000000,51,0.00004819
24,6.40000000,43,0.00004063
24,6.50000000,31,0.00002929
24,6.60000000,25,0.00002362
24,6.70000000,19,0.00001795
24,6.80000000,13,0.00001228
24,6.90000000,15,0.00001417
24,7.00000000,6,0.00000567
24,7.10000000,7,0.00000661
24,7.20000000,2,0.00000189
24,7.30000000,6,0.00000567
24,7.40000000,3,0.00000283
24,7.50000000,1,0.00000094
24,7.60000000,2,0.00000189
24,7.70000000,1,0.00000094
24,7.90000000,1,0.00000094
24,8.00000000,1,0.00000094
24,8.20000000,1,0.00000094
25,0.00000000,363084,0.41948453
25,1.00000000,27174,0.03139514
25,1.10000000,20324,0.02348108
25,1.20000000,23857,0.02756289
25,1.30000000,25023,0.02891001
25,1.40000000,25296,0.02922542
25,1.50000000,25305,0.02923581
25,1.60000000,24958,0.02883491
25,1.70000000,23898,0.02761025
25,1.80000000,23476,0.02712270
25,1.90000000,22686,0.02620998
25,2.00000000,21650,0.02501306
25,2.10000000,20873,0.02411536
25,2.20000000,19787,0.02286066
25,2.30000000,18501,0.02137490
25,2.40000000,17546,0.02027155
25,2.50000000,16363,0.01890479
25,2.60000000,15257,0.01762698
25,2.70000000,14090,0.01627870
25,2.80000000,13406,0.01548845
25,2.90000000,11955,0.01381206
25,3.00000000,11028,0.01274106
25,3.10000000,9955,0.01150138
25,3.20000000,9177,0.01060253
25,3.30000000,7903,0.00913063
25,3.40000000,7247,0.00837273
25,3.50000000,6498,0.00750738
25,3.60000000,5612,0.00648375
25,3.70000000,4901,0.00566231
25,3.80000000,4336,0.00500954
25,3.90000000,3809,0.00440068
25,4.00000000,3312,0.00382648
25,4.10000000,2837,0.00327769
25,4.20000000,2411,0.00278552
25,4.30000000,2072,0.00239386
25,4.40000000,1757,0.00202993
25,4.50000000,1498,0.00173070
25,4.60000000,1253,0.00144764
25,4.70000000,999,0.00115418
25,4.80000000,875,0.00101092
25,4.90000000,667,0.00077061
25,5.00000000,548,0.00063312
25,5.10000000,481,0.00055572
25,5.20000000,362,0.00041823
25,5.30000000,307,0.00035469
25,5.40000000,250,0.00028883
